Driver,Sector 1,Sector 2,Sector 3,circuit_name,LapTime
ALB,25.047,26.467,22.173,Netherlands,73.687
ALO,25.125,26.195,22.399,Netherlands,73.719
ANT,25.134,26.316,22.03,Netherlands,73.48
BEA,25.243,26.345,22.362,Netherlands,73.95
BOR,25.4,26.45,22.457,Netherlands,74.307
COL,24.969,26.049,22.031,Netherlands,73.049
GAS,25.673,26.888,22.687,Netherlands,75.248
HAD,24.969,26.103,22.255,Netherlands,73.327
HAM,25.949,27.151,22.584,Netherlands,75.684
HUL,25.344,27.206,22.362,Netherlands,74.912
LAW,25.167,26.42,22.292,Netherlands,73.879
LEC,25.693,26.606,22.258,Netherlands,74.557
NOR,24.993,25.626,21.76,Netherlands,72.379
OCO,25.152,26.521,22.313,Netherlands,73.986
PIA,24.661,25.567,22.043,Netherlands,72.271
RUS,25.076,26.447,22.205,Netherlands,73.728
SAI,24.956,26.502,22.35,Netherlands,73.808
STR,25.528,26.169,22.125,Netherlands,73.822
TSU,25.238,26.71,22.406,Netherlands,74.354
VER,24.769,25.962,22.19,Netherlands,72.921
